	Portfolio Val	SP500	Rolling_mean_PV	Rolling_std_PV	upper_band_PV	lower_band_PV	BB
241	12352.25268810495	2071.5	12403.841848737666	86.07582404879479	12575.993496835255	12231.690200640076	-0.2996727664406097
242	12351.793343123056	2077.99	12365.638589351405	37.86734977956658	12441.373288910538	12289.903889792273	-0.18281245332648538
243	12206.053407000902	2071.22	12320.462418993655	64.42753199509664	12449.317482983848	12191.607355003462	-0.8878891403248265
244	12205.51209873889	2083.25	12290.310165594747	77.44189404163298	12445.193953678012	12135.426377511481	-0.5474947888688638
245	12218.841608897395	2088.9	12266.890629173058	77.8979330447919	12422.686495262642	12111.094763083474	-0.30841011049698985
246	12177.9633570072	2085.45	12232.03276295351	68.59004361688059	12369.21285018727	12094.852675719749	-0.3941490856043316
247	12360.306399120484	2113.32	12233.735374152997	72.3108067337287	12378.356987620455	12089.11376068554	0.8751874767042863
248	12105.559873089385	2037.41	12213.636667370694	92.94929905305605	12399.535265476807	12027.738069264582	-0.5813749828259497
249	11942.47633772824	2000.54	12161.029515168564	153.44595320508046	12467.921421578725	11854.137608758403	-0.7121503463445144
250	12147.088281948065	2036.09	12146.678849778698	150.0042116382039	12446.687273055106	11846.67042650229	0.0013647355794049116
251	12341.375493665644	2070.77	12179.361277110385	174.35051728031988	12528.062311671025	11830.660242549746	0.4646221275465825
252	12465.707787184485	2098.86	12200.441554723186	205.3190855929314	12611.079725909049	11789.803383537323	0.6459853249766073
253	12577.843356852856	2102.95	12294.898251475879	253.6941842892793	12802.286620054438	11787.50988289732	0.5576499638130135
254	12561.203176394087	2088.55	12418.643619209051	178.60255047024404	12775.848720149539	12061.438518268564	0.39909720440634583
255	12707.180093518018	2099.73	12530.661981523042	136.35057065531504	12803.363122833673	12257.960840212412	0.6472950980205336
256	12708.83147267866	2097.9	12604.153177325647	104.01457381411008	12812.182324953867	12396.124029697427	0.5031905218401841
257	12894.91682292583	2129.9	12689.994984473917	133.98546426937594	12957.96591301267	12422.024055935164	0.764716678668669
258	13010.202161927684	2137.16	12776.46674548888	176.33507889219158	13129.136903273264	12423.796587704497	0.6627592703256324
259	12995.67979102241	2152.14	12863.362068414546	148.60872250020367	13160.579513414954	12566.144623414139	0.4451882782576334
260	12977.103005212826	2152.43	12917.346650753509	124.81058186527991	13166.96781448407	12667.725487022948	0.23938817352769998
261	13006.196230637337	2163.75	12976.819602345242	47.54270155608086	13071.905005457404	12881.73419923308	0.30894992638820457
